ResponseId	Age	Gender	Tromp	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Submarine_1	Trespassers_1	Hostages_1	Liferaft_1	PlaneCrash_1	PrisWar_1	Spelunkers_1	Soldier_1	Surgery_1	Footbridge_1	Cryingbaby_1	CRT_TOT	Num_TOT	AOT_TOT	Psych_TOT	Narc_TOT	Mach_TOT	Age_correct
135	26	2	2	653	6	6	6	6	52.81	7.08	6.81	6.38	7.08	2.74	2.98	5.78	6.23	1.21	2.22	4.3	3	3	24	25	19	25	1
136	32	1	2	461	6	7	6	5	98.18	9.75	9.86	9.78	10	8.74	9.8	5.96	9.14	5.15	10	10	5	3	35	20	12	23	1
137	39	1	2	478	3	4	9	9	66.25	5.41	8.79	9.14	6.65	4.14	9.63	4.12	7.65	0	3.58	7.14	7	3	39	15	12	32	1
138	29	1	2	898	7	8	7	8	89.9	7.63	3.68	10	8.37	6.91	8.87	8.64	10	7.53	8.27	10	5	2	36	19	23	30	1
139	35	2	2	537	7	7	7	7	54.72	0	10	8.02	3.31	0	7.3	8.58	10	0	0	7.51	5	1	28	28	18	34	1
140	23	1	2	505	6	6	6	5	51.26	2.2	6.05	7.57	6.15	0.74	7.47	6.93	5.88	0	0	8.27	6	3	35	25	23	31	1
141	27	1	2	309	4	4	5	4	59.19	5.86	6.13	6.93	4.57	5.6	5.7	4.03	5.91	4.09	6.11	4.26	1	0	20	27	29	27	1
142	30	1	2	1471	5	5	4	4	43.77	2.39	0	0	10	1.38	10	0	10	0	0	10	5	3	27	18	23	35	1
144	34	1	2	656	7	6	7	8	96.55	9.98	7.76	10	10	9.84	9.75	9.73	9.12	6.79	5.86	7.72	7	2	32	29	22	29	1
145	40	2	2	683	3	6	5	6	54.37	2.08	6.48	7.61	3.77	0.76	8.07	8.46	10	0	5.68	1.46	6	2	33	14	20	21	1
146	24	1	2	750	0	0	4	4	19.61	0	0	0	0	0	0	7.74	7.43	0	0	4.44	0	3	29	18	20	31	1
147	43	2	2	520	8	8	8	8	5.8	1.32	0	0	0.86	0	0	1.03	2.59	0	0	0	7	3	36	14	16	26	1
148	46	2	2	2378	5	5	6	6	34.4	3.97	1.36	4.3	3.27	0.21	3.97	5.88	5.16	1.19	1.28	3.81	6	2	24	24	31	29	1
149	42	1	2	459	9	8	8	8	74.64	10	4.51	5.47	7.08	5.8	6.71	7.12	8.35	8.11	7.72	3.77	4	0	25	21	34	34	1
